source,material,materialType,weight,weightUnit,sellPrice,buybackPrice,currency,recordedDate,lineKey
"bankbsi","gold","Emas",1,"gr",2772000,2632000,"IDR","2026-05-17",""
"bankbsi","gold","Emas",1,"gr",2772000,2632000,"IDR","2026-05-18",""
